spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
bf16_bouter,control,19.521,18.521,-1.0,-0.05122688386865427,1,1,40,40,yes,no,
bf16_binner,control,22.26,22.361,0.10099999999999909,0.00453728661275827,0,1,40,40,yes,no,
i32_same_big,control,158.527,163.087,4.560000000000002,0.02876481608811119,0,1,40,40,yes,no,
i32_bouter,control,30.521,30.421,-0.10000000000000142,-0.003276432620163213,1,1,40,40,yes,no,
i32_binner,control,30.001,30.941,0.9399999999999977,0.03133228892370247,0,1,40,40,yes,no,
i8_same_big,control,178.587,179.848,1.261000000000024,0.0070609842821707305,0,1,40,40,yes,no,
i8_bouter,control,44.522,44.642,0.12000000000000455,0.002695296707245958,0,1,40,40,yes,no,
i8_binner,control,43.2515,43.302,0.050499999999999545,0.0011675895633677339,0,1,40,40,yes,no,
scalar,control,2.18,2.08,-0.10000000000000009,-0.04587155963302756,1,1,1,1,yes,no,
f16_bscalar_x,control,27.681,28.961,1.2799999999999976,0.046241104006358065,0,1,40,40,yes,no,
f16_tail_1d,control,2.401,2.38,-0.020999999999999908,-0.008746355685131157,1,1,4,4,yes,no,
f16_tail_p1,control,3.68,3.5,-0.18000000000000016,-0.04891304347826091,1,1,3,3,yes,no,
f16_tail_p1_rev,control,3.58,3.5,-0.08000000000000007,-0.022346368715083817,1,1,3,3,yes,no,
f16_tail_p2,control,3.66,3.64,-0.020000000000000018,-0.005464480874316944,1,1,3,3,yes,no,
f16_tail_p2_rev,control,3.66,3.9,0.23999999999999977,0.06557377049180321,0,1,3,3,yes,no,
f32_tail_p1,control,3.541,3.521,-0.020000000000000018,-0.005648121999435193,1,1,5,5,yes,no,
f32_tail_p1_rev,control,3.7,3.64,-0.06000000000000005,-0.01621621621621623,1,1,5,5,yes,no,
f32_tail_p2,control,3.42,3.48,0.06000000000000005,0.017543859649122823,0,1,5,5,yes,no,
f32_tail_p2_rev,control,3.42,3.38,-0.040000000000000036,-0.01169590643274855,1,1,5,5,yes,no,
bf16_tail_p1,control,4.041,3.92,-0.12100000000000044,-0.029943083395199313,1,1,4,4,yes,no,
bf16_tail_p1_rev,control,3.86,3.9,0.040000000000000036,0.010362694300518144,0,1,4,4,yes,no,
bf16_tail_p2,control,3.92,3.74,-0.17999999999999972,-0.0459183673469387,1,1,4,4,yes,no,
bf16_tail_p2_rev,control,3.941,4.0,0.05900000000000016,0.014970819588936861,0,1,4,4,yes,no,
i32_tail_p1,control,4.2405,4.3,0.059499999999999886,0.014031364225916729,0,1,6,6,yes,no,
i32_tail_p1_rev,control,4.42,4.42,0.0,0.0,0,1,6,6,yes,no,
i32_tail_p2,control,4.061,4.16,0.0990000000000002,0.024378231962570846,0,1,6,6,yes,no,
i32_tail_p2_rev,control,4.1,4.08,-0.019999999999999574,-0.004878048780487702,1,1,6,6,yes,no,
i8_tail_p1,control,3.82,3.581,-0.23899999999999988,-0.06256544502617799,1,1,3,3,yes,no,
i8_tail_p1_rev,control,3.561,3.72,0.15900000000000025,0.04465037910699249,0,1,3,3,yes,no,
i8_tail_p2,control,3.52,3.42,-0.10000000000000009,-0.028409090909090936,1,1,3,3,yes,no,
i8_tail_p2_rev,control,3.42,3.6,0.18000000000000016,0.05263157894736847,0,1,3,3,yes,no,
f16_p1_n1,control,3.9,4.3004999999999995,0.40049999999999963,0.1026923076923076,0,1,1,1,yes,no,
f16_p2_n1,control,2.14,2.061,-0.07900000000000018,-0.03691588785046737,1,1,1,1,yes,no,
f16_p1_n7,control,4.12,4.82,0.7000000000000002,0.16990291262135926,0,1,1,1,yes,yes,1
f16_p2_n7,control,4.56,4.12,-0.4399999999999995,-0.09649122807017534,1,1,1,1,yes,no,
f16_p1_n31,control,4.06,3.76,-0.2999999999999998,-0.07389162561576351,1,1,1,1,yes,no,
f16_p2_n31,control,3.7,3.84,0.13999999999999968,0.03783783783783775,0,1,1,1,yes,no,
