spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_n1,control,4.22,4.24,0.020000000000000462,0.004739336492891105,0,1,1,1,yes,no,
f16_p2_n1,control,2.16,2.12,-0.040000000000000036,-0.018518518518518535,1,1,1,1,yes,no,
f16_p1_n7,control,4.74,4.16,-0.5800000000000001,-0.12236286919831224,1,1,1,1,yes,no,
f16_p2_n7,control,4.701,4.04,-0.6609999999999996,-0.14060838119549024,1,1,1,1,yes,no,
f16_p1_n31,control,3.76,3.78,0.020000000000000018,0.005319148936170218,0,1,1,1,yes,no,
f16_p2_n31,control,3.86,4.22,0.3599999999999999,0.09326424870466318,0,1,1,1,yes,no,
f16_p1_n33,control,3.78,3.86,0.08000000000000007,0.021164021164021184,0,1,1,1,yes,no,
f16_p2_n33,control,3.78,3.88,0.10000000000000009,0.02645502645502648,0,1,1,1,yes,no,
f16_p1_n255,control,3.46,3.54,0.08000000000000007,0.023121387283237014,0,1,1,1,yes,no,
f16_p2_n255,control,3.34,3.3,-0.040000000000000036,-0.011976047904191628,1,1,1,1,yes,no,
f16_p1_n257,control,3.881,3.52,-0.36099999999999977,-0.09301726359185772,1,1,1,1,yes,no,
f16_p2_n257,control,4.96,4.441,-0.5190000000000001,-0.10463709677419357,1,1,1,1,yes,no,
f16_p1_n777,control,3.9,3.92,0.020000000000000018,0.0051282051282051325,0,1,2,2,yes,no,
f16_p2_n777,control,4.22,4.32,0.10000000000000053,0.023696682464455103,0,1,2,2,yes,no,
f16_p1_n1000,control,3.561,3.561,0.0,0.0,0,1,3,3,yes,no,
f16_p2_n1000,control,3.52,3.6,0.08000000000000007,0.02272727272727275,0,1,3,3,yes,no,
f16_p1_n10000,control,4.72,4.9,0.1800000000000006,0.03813559322033911,0,1,20,22,yes,no,
f16_p2_n10000,control,4.9,4.9,0.0,0.0,0,1,20,20,yes,no,
f16_p2_outer1,control,2.68,2.64,-0.040000000000000036,-0.01492537313432837,1,1,1,1,yes,no,
f16_p2_outer19,control,3.701,3.36,-0.3410000000000002,-0.09213726019994602,1,1,3,3,yes,no,
f16_p2_outer20,control,3.581,3.7,0.11900000000000022,0.03323094107791126,0,1,3,3,yes,no,
f16_p2_outer21,control,3.62,3.701,0.08099999999999996,0.022375690607734797,0,1,3,3,yes,no,
f32_p2_n7,control,4.0,4.24,0.2400000000000002,0.06000000000000005,0,1,1,1,yes,no,
f32_p2_n31,control,3.801,3.98,0.17899999999999983,0.04709287029729014,0,1,1,1,yes,no,
f32_p2_n255,control,3.28,3.241,-0.0389999999999997,-0.011890243902438934,1,1,2,2,yes,no,
