spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
i32_bouter,Greater,1050,150,900,30.421,32.222950000000004,30.528261111111114,0.7877259419358774,0.025803171005019197,28.541,33.721,40,[40],0.565,0.678,0.543,0.155,PASS,specs/i32_bouter/profile/PROF_000001_20260901002549202_IDCBPGRJGHIHPIFA/mindstudio_profiler_output/op_summary_20260901002604.csv
i32_binner,Greater,1050,150,900,30.941,31.761,30.958925555555556,0.47651449786994615,0.015391829313160256,29.681,32.562,40,[40],0.549,0.708,0.656,0.139,PASS,specs/i32_binner/profile/PROF_000001_20260901002612007_IFGJHEEADRDNAHAA/mindstudio_profiler_output/op_summary_20260901002626.csv
i8_same_big,Greater,1050,150,900,179.848,181.027,179.8892588888889,0.6758450682736954,0.0037570062406624316,177.767,182.047,40,[40],0.964,0.388,0.373,0.483,PASS,specs/i8_same_big/profile/PROF_000001_20260901002634085_PCDEMEMBDINOCCMC/mindstudio_profiler_output/op_summary_20260901002648.csv
i8_bouter,Greater,1050,150,900,44.642,45.40295,44.652697777777774,0.46322832598521185,0.010374027752825851,43.582,45.962,40,[40],0.422,0.764,0.763,0.165,PASS,specs/i8_bouter/profile/PROF_000001_20260901002656334_PRLONHRRKBPMELCA/mindstudio_profiler_output/op_summary_20260901002712.csv
i8_binner,Greater,1050,150,900,43.302,44.143,43.27699777777778,0.5451090023467839,0.012595813719469488,41.842,45.062,40,[40],0.452,0.73,0.859,0.172,PASS,specs/i8_binner/profile/PROF_000001_20260901002720207_PBBIQOJPORLBNACC/mindstudio_profiler_output/op_summary_20260901002736.csv
scalar,Greater,1050,150,900,2.08,2.24,2.084477777777778,0.08308405753984308,0.03985845204280249,1.92,2.48,1,[1],0.2335,0.119,0.964,0.074,PASS,specs/scalar/profile/PROF_000001_20260901002744290_ELROHPKABGRCLKBC/mindstudio_profiler_output/op_summary_20260901002757.csv
f16_bscalar_x,Greater,1050,150,900,28.961,30.121049999999997,28.91067111111111,0.7593152812083681,0.026264187306137762,26.961,30.741,40,[40],0.631,0.553,0.631,0.143,PASS,specs/f16_bscalar_x/profile/PROF_000001_20260901002805492_FPNKGRLPEABAPBEB/mindstudio_profiler_output/op_summary_20260901002821.csv
f16_tail_1d,Greater,1050,150,900,2.38,2.54,2.386671111111111,0.08226022833321159,0.03446651193381876,2.18,2.76,4,[4],0.282,0.112,0.929,0.082,PASS,specs/f16_tail_1d/profile/PROF_000001_20260901002828318_LGKHCRNDPPPIOIGA/mindstudio_profiler_output/op_summary_20260901002843.csv
f16_tail_p1,Greater,1050,150,900,3.5,3.72,3.514322222222222,0.11978451279766034,0.03408466988036078,3.22,4.0,3,[3],0.362,0.174,0.5265,0.138,PASS,specs/f16_tail_p1/profile/PROF_000001_20260901002850593_FGMMKMJAFEANERFC/mindstudio_profiler_output/op_summary_20260901002906.csv
f16_tail_p1_rev,Greater,1050,150,900,3.5,3.76,3.5144822222222225,0.12817268176416258,0.0364698620336507,3.2,4.06,3,[3],0.361,0.173,0.527,0.139,PASS,specs/f16_tail_p1_rev/profile/PROF_000001_20260901002913328_BIRIRHEQHPNQRDBB/mindstudio_profiler_output/op_summary_20260901002928.csv
f16_tail_p2,Greater,1050,150,900,3.64,3.86,3.639898888888889,0.12864127469176054,0.035341991252682683,3.38,4.121,3,[3],0.269,0.222,0.647,0.129,PASS,specs/f16_tail_p2/profile/PROF_000001_20260901002935559_LQNPBHPERCPFAKCB/mindstudio_profiler_output/op_summary_20260901002951.csv
f16_tail_p2_rev,Greater,1050,150,900,3.9,4.14,3.911322222222222,0.13063731198991585,0.03339978262279146,3.62,4.52,3,[3],0.311,0.207,0.594,0.134,PASS,specs/f16_tail_p2_rev/profile/PROF_000001_20260901002958601_HJAAQQNBPFGILEFB/mindstudio_profiler_output/op_summary_20260901003014.csv
f32_tail_p1,Greater,1050,150,900,3.521,3.78,3.54903,0.11820556571780652,0.03330644308946572,3.32,4.04,5,[5],0.327,0.161,0.573,0.141,PASS,specs/f32_tail_p1/profile/PROF_000001_20260901003022101_NQOGKLMKORCMIHDB/mindstudio_profiler_output/op_summary_20260901003037.csv
f32_tail_p1_rev,Greater,1050,150,900,3.64,3.86,3.6584333333333334,0.11294915768708598,0.03087364109056317,3.44,4.22,5,[5],0.357,0.154,0.534,0.141,PASS,specs/f32_tail_p1_rev/profile/PROF_000001_20260901003044835_HGLRFLRAPBOOIADA/mindstudio_profiler_output/op_summary_20260901003100.csv
f32_tail_p2,Greater,1050,150,900,3.48,3.7,3.4961988888888893,0.1063561908498926,0.030420520751235972,3.28,3.92,5,[5],0.29,0.165,0.62,0.147,PASS,specs/f32_tail_p2/profile/PROF_000001_20260901003107601_COJIMRDAOPRMRRNB/mindstudio_profiler_output/op_summary_20260901003122.csv
f32_tail_p2_rev,Greater,1050,150,900,3.38,3.62,3.4005866666666664,0.12212934054608757,0.0359141973187237,3.18,4.12,5,[5],0.256,0.172,0.677,0.141,PASS,specs/f32_tail_p2_rev/profile/PROF_000001_20260901003130025_MFMEPAOBHPEKIFQB/mindstudio_profiler_output/op_summary_20260901003145.csv
bf16_tail_p1,Greater,1050,150,900,3.92,4.20005,3.936317777777778,0.1463163358220642,0.03717086477318559,3.52,4.46,4,[4],0.328,0.221,0.548,0.118,PASS,specs/bf16_tail_p1/profile/PROF_000001_20260901003153188_JOHHFFIRACNQRFLC/mindstudio_profiler_output/op_summary_20260901003208.csv
bf16_tail_p1_rev,Greater,1050,150,900,3.9,4.2,3.9063577777777776,0.1480476004366897,0.03789914003240892,3.52,4.48,4,[4],0.327,0.221,0.554,0.119,PASS,specs/bf16_tail_p1_rev/profile/PROF_000001_20260901003216061_NNBGPQFAMDQFQHBC/mindstudio_profiler_output/op_summary_20260901003231.csv
bf16_tail_p2,Greater,1050,150,900,3.74,4.020999999999999,3.776101111111111,0.1292507029806323,0.03422861284098415,3.58,4.42,4,[4],0.238,0.28,0.66,0.124,PASS,specs/bf16_tail_p2/profile/PROF_000001_20260901003238880_HDOAFGKODJGLLIDA/mindstudio_profiler_output/op_summary_20260901003253.csv
