spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p2_n31,Greater,1050,150,900,3.98,4.2,3.976976666666667,0.13543244527561824,0.03405412116464137,3.64,4.42,1,[1],0.252,0.121,0.4475,0.336,PASS,specs/f16_p2_n31/profile/PROF_000001_20260831200446338_HFMKNPLBKQRKFEQA/mindstudio_profiler_output/op_summary_20260831200501.csv
f16_p1_n33,Greater,1050,150,900,3.88,4.061,3.890758888888889,0.09468242051363593,0.02433520637426984,3.66,4.26,1,[1],0.282,0.126,0.422,0.322,PASS,specs/f16_p1_n33/profile/PROF_000001_20260831200509604_EAEPFOOIHJELROAC/mindstudio_profiler_output/op_summary_20260831200526.csv
f16_p2_n33,Greater,1050,150,900,3.78,3.941,3.7828166666666667,0.10492830753529862,0.0277381424428795,3.54,4.181,1,[1],0.272,0.128,0.443,0.315,PASS,specs/f16_p2_n33/profile/PROF_000001_20260831200533381_GFRPKMNILHRAMPPB/mindstudio_profiler_output/op_summary_20260831200547.csv
f16_p1_n255,Greater,1050,150,900,3.76,4.02,3.7753211111111113,0.13014925704696328,0.03447369196329347,3.46,4.38,1,[1],0.368,0.131,0.468,0.184,PASS,specs/f16_p1_n255/profile/PROF_000001_20260831200554441_ACDJFOMHNFAILOKA/mindstudio_profiler_output/op_summary_20260831200609.csv
f16_p2_n255,Greater,1050,150,900,3.72,4.02,3.733791111111111,0.15156794123387876,0.040593578141754905,3.44,4.3,1,[1],0.356,0.132,0.473,0.193,PASS,specs/f16_p2_n255/profile/PROF_000001_20260831200616697_MIDRIRHAAMINAAAA/mindstudio_profiler_output/op_summary_20260831200631.csv
f16_p1_n257,Greater,1050,150,900,3.5,3.701,3.515385555555556,0.10054608237145257,0.028601722565695275,3.32,3.92,1,[1],0.307,0.231,0.608,0.246,PASS,specs/f16_p1_n257/profile/PROF_000001_20260831200638597_OHNQPRPGGCNCOLJB/mindstudio_profiler_output/op_summary_20260831200653.csv
f16_p2_n257,Greater,1050,150,900,4.44,4.68,4.449761111111111,0.1125272986083766,0.02528839094921174,4.22,4.86,1,[1],0.233,0.359,0.692,0.215,PASS,specs/f16_p2_n257/profile/PROF_000001_20260831200700644_MHPRABPBKQEODBKA/mindstudio_profiler_output/op_summary_20260831200716.csv
f16_p1_n777,Greater,1050,150,900,3.92,4.18,3.9548666666666668,0.12009155766423477,0.030365513628163133,3.681,4.42,2,[2],0.423,0.211,0.535,0.199,PASS,specs/f16_p1_n777/profile/PROF_000001_20260831200723542_MQNDJREBBFLDCCNB/mindstudio_profiler_output/op_summary_20260831200739.csv
f16_p2_n777,Greater,1050,150,900,4.34,4.54,4.35317,0.1107243272978236,0.025435332711064254,4.02,4.98,2,[2],0.341,0.255,0.64,0.177,PASS,specs/f16_p2_n777/profile/PROF_000001_20260831200746822_CBLPILJDRJQONEEB/mindstudio_profiler_output/op_summary_20260831200803.csv
f16_p1_n1000,Greater,1050,150,900,3.62,3.86,3.638132222222222,0.11479662821972292,0.0315537262550627,3.401,4.041,3,[3],0.365,0.167,0.514,0.129,PASS,specs/f16_p1_n1000/profile/PROF_000001_20260831200810830_BJRBJLCCFPPNHIIC/mindstudio_profiler_output/op_summary_20260831200826.csv
